DATE;DAY;MONTH;WEEKDAY;PM2.5(AQI);PM10(AQI);O3(AQI);NO2(AQI);SO2(AQI);PRECIPITATIONS(mm);TAVG(C);TMAX(C);TMIN(C);PRESSURE(hPa);WINDSPEED(km/h);HUMIDITY(percentage)
01/01/2014;1;1;3;34;11;21;22;2;5.5;8.2;9.9;7;1021.1;10.2;93.7
02/01/2014;2;1;4;36;14;23;25;1;5.4;10.9;12.7;9.3;1016.3;14.6;91.3
03/01/2014;3;1;5;40;10;30;15;1;7.7;11.8;13.4;10.7;1016.0;20.7;89.2
04/01/2014;4;1;6;26;15;26;17;1;5.8;8.6;11.2;3.7;1017.5;19.4;89.0
05/01/2014;5;1;7;36;19;23;22;2;0.5;6.4;9.1;3.6;1018.9;25.8;76.0
06/01/2014;6;1;1;43;22;16;28;3;0;9.3;11.9;6.4;1023.0;9.7;91.0
07/01/2014;7;1;2;81;25;11;31;6;0;10.3;14.4;7;1020.9;9.1;80.9
08/01/2014;8;1;3;68;37;5;48;9;0;7.9;14.7;3.8;1022.6;5.0;82.8
09/01/2014;9;1;4;83;32;6;40;10;0;7.2;14.9;2.2;1023.7;6.3;80.9
10/01/2014;10;1;5;69;35;7;36;4;0;7.7;15;1.6;1020.2;6.2;78.4
11/01/2014;11;1;6;76;39;3;29;3;0;8;14.1;3.6;1016.9;5.2;74.5
12/01/2014;12;1;7;91;16;27;28;2;4.8;5.4;8.4;2.1;1022.4;3.9;86.5
13/01/2014;13;1;1;41;14;24;21;2;0;8.5;11.4;6;1024.3;4.5;94.5
14/01/2014;14;1;2;35;19;18;28;2;0;9.2;13.1;6;1019.2;21.9;70.5
15/01/2014;15;1;3;44;12;26;23;2;4;8.7;10.5;5.5;1016.7;16.1;82.8
16/01/2014;16;1;4;35;15;18;23;1;0;8.5;10.4;5.3;1013.2;13.7;89.0
17/01/2014;17;1;5;34;10;25;22;2;7.4;6.4;9.4;3;1009.6;16.1;80.4
18/01/2014;18;1;6;32;11;25;21;2;2.7;6.9;10.1;5.2;999.9;16.1;83.8
19/01/2014;19;1;7;38;16;28;30;3;3.9;5.3;9;3.2;996.3;10.1;86.1
20/01/2014;20;1;1;40;20;18;34;3;0;6.4;10.5;2;1008.7;14.3;71.9
21/01/2014;21;1;2;50;8;16;26;3;10;4.4;10;-1.6;1019.6;12.0;70.7
22/01/2014;22;1;3;30;10;16;21;4;5.8;7.9;13;5.5;1015.5;11.0;86.0
27/01/2014;27;1;1;25;13;27;26;2;0;10.1;12.1;6.7;1018.4;16.3;65.8
28/01/2014;28;1;2;32;17;28;25;3;0.3;6.8;8.9;4.6;1013.6;31.2;53.3
29/01/2014;29;1;3;39;16;27;24;3;1;6.4;9.5;4.4;1002.0;26.9;80.6
30/01/2014;30;1;4;39;17;26;27;2;0;6.4;11.5;1.1;1004.7;10.9;66.5
31/01/2014;31;1;5;45;11;31;16;2;0;9.4;13.3;6.4;1010.9;16.2;61.1
01/02/2014;1;2;6;28;15;25;21;3;0;9.4;12.9;2.8;1011.2;17.4;74.6
02/02/2014;2;2;7;38;24;23;32;3;0;3.7;10.1;-2.1;1017.4;20.2;60.3
03/02/2014;3;2;1;49;12;24;21;1;0.8;2.7;8.5;-2.2;1018.1;6.9;69.0
04/02/2014;4;2;2;32;10;26;14;1;4.5;5.5;8.6;1.4;1014.4;13.4;78.4
05/02/2014;5;2;3;30;17;27;19;2;0;9.5;12.8;7.9;1009.1;23.8;87.9
06/02/2014;6;2;4;29;14;23;18;2;2.5;10.9;17.1;7.9;1014.1;18.1;76.2
09/02/2014;9;2;7;35;15;31;14;2;13.8;4.7;8.2;3.2;1012.2;20.9;74.4
10/02/2014;10;2;1;38;16;26;25;1;0;6.7;9.7;3.5;1000.7;24.8;84.0
11/02/2014;11;2;2;41;19;20;30;2;8.6;4.1;5.8;1.7;1017.8;23.3;60.9
12/02/2014;12;2;3;48;19;22;25;2;0.3;4.7;7.8;3.1;1018.8;10.4;93.4
13/02/2014;13;2;4;47;14;20;18;2;0.5;11.1;17.4;4.7;1020.4;9.3;92.5
14/02/2014;14;2;5;33;11;28;21;1;6.3;12.8;16.1;10.1;1016.3;18.1;83.3
15/02/2014;15;2;6;32;16;23;25;3;0.8;8.2;10.3;6.2;1010.0;22.7;82.6
16/02/2014;16;2;7;42;24;15;35;5;0;6.4;11.6;1.5;1015.4;6.7;86.6
17/02/2014;17;2;1;52;23;20;33;5;0;4;10.9;-0.9;1013.7;6.8;80.2
18/02/2014;18;2;2;54;30;17;45;5;0;6.6;12.7;2.3;1018.8;6.6;75.7
19/02/2014;19;2;3;64;30;20;35;4;0;6.4;15.4;-0.9;1023.5;7.4;74.3
20/02/2014;20;2;4;60;13;32;22;2;0.8;6.8;13.3;0.1;1019.5;4.4;71.5
21/02/2014;21;2;5;30;20;29;24;2;0;8.8;12.5;2.4;1023.6;15.8;75.5
22/02/2014;22;2;6;44;17;28;23;3;0;5.7;13.2;-1.7;1024.8;7.8;62.6
23/02/2014;23;2;7;43;19;25;25;2;0;6.8;15.7;0.8;1014.8;10.9;67.6
24/02/2014;24;2;1;45;19;24;18;2;1.3;7.4;11.6;3.8;1019.2;10.7;66.7
25/02/2014;25;2;2;41;18;28;19;2;0;7.3;12;2.1;1021.3;11.7;81.2
26/02/2014;26;2;3;39;24;20;25;3;0.3;8.3;12.7;3.9;1028.5;22.5;66.3
27/02/2014;27;2;4;49;17;30;17;2;0;6.8;13;2.4;1026.6;11.3;56.9
28/02/2014;28;2;5;36;17;29;15;1;0;9.8;15.5;2.7;1028.5;12.4;79.6
01/03/2014;1;3;6;52;11;20;12;2;0;10.2;13.3;7.2;1016.0;28.6;58.9
02/03/2014;2;3;7;28;14;28;14;2;0;13.5;17.4;9.6;1005.0;23.2;79.3
03/03/2014;3;3;1;29;15;28;15;2;0;9.9;12.6;6.8;1007.3;26.6;68.9
04/03/2014;4;3;2;36;17;23;22;4;0;9.3;13;5.8;1013.2;33.0;51.5
05/03/2014;5;3;3;43;24;17;30;4;0;12;17.7;6.3;1015.3;25.0;65.0
06/03/2014;6;3;4;51;26;27;31;4;0;11.8;21.9;1.9;1021.0;8.9;64.4
07/03/2014;7;3;5;57;27;36;32;5;0;10.8;19.2;3.1;1021.4;5.6;56.1
08/03/2014;8;3;6;55;22;40;19;3;0;11;20.8;2.3;1024.4;5.9;66.4
09/03/2014;9;3;7;47;27;31;34;5;0;10.1;19.5;1.2;1023.2;6.7;50.5
10/03/2014;10;3;1;57;28;37;30;4;0;10.1;20.5;0.5;1024.5;8.1;49.5
11/03/2014;11;3;2;59;32;35;25;3;0;11.6;19.8;4.4;1020.3;5.5;43.4
12/03/2014;12;3;3;66;31;31;26;3;0;10.3;18.6;2.4;1022.1;6.0;49.8
13/03/2014;13;3;4;66;31;30;35;4;0;8.3;14.6;1.6;1025.2;7.3;57.3
14/03/2014;14;3;5;66;33;41;30;5;0;8.6;17.6;1.8;1027.4;8.1;67.3
15/03/2014;15;3;6;68;31;34;29;4;0;11.1;21.1;1.4;1027.7;6.6;59.4
16/03/2014;16;3;7;56;33;33;34;4;0;13.9;24.6;3.3;1026.6;7.4;48.9
17/03/2014;17;3;1;60;39;33;44;4;0;14.4;24;4.3;1022.9;7.1;49.5
18/03/2014;18;3;2;75;27;36;22;3;0;14.4;24.8;4.3;1021.2;7.0;50.4
19/03/2014;19;3;3;60;36;35;35;3;0;15.6;22.1;9.9;1019.8;8.3;45.0
20/03/2014;20;3;4;72;40;32;24;3;0;14;23;6.9;1019.9;6.3;56.8
21/03/2014;21;3;5;70;17;33;13;2;0;14.1;20.2;8.7;1018.4;7.9;58.9
22/03/2014;22;3;6;34;13;35;15;2;0;12.7;16.5;7.8;1016.1;20.8;60.1
23/03/2014;23;3;7;27;26;34;32;3;0;8.4;14.5;4;1016.8;24.7;47.2
24/03/2014;24;3;1;53;24;35;16;2;0;7.7;14.3;-0.1;1021.6;5.4;51.9
25/03/2014;25;3;2;40;14;34;19;3;1.6;9.1;14.9;4.9;1020.5;24.4;54.7
26/03/2014;26;3;3;31;19;32;30;3;0;7.6;14;4.5;1016.3;30.8;59.0
27/03/2014;27;3;4;41;23;34;23;4;0;6.8;13.6;-0.6;1016.2;17.3;62.9
28/03/2014;28;3;5;49;26;32;22;4;0;9.4;16.5;3.5;1009.1;11.4;57.7
29/03/2014;29;3;6;55;14;32;16;2;13.9;8.9;13.6;6.8;1005.7;16.4;53.4
30/03/2014;30;3;7;39;45;25;26;2;0.7;9.9;14.8;7.6;1007.6;10.8;86.1
31/03/2014;31;3;1;51;37;30;23;3;0.1;10.8;15.8;7.7;1013.9;9.7;74.8
01/04/2014;1;4;2;43;21;23;23;2;0;13.9;20.2;8.8;1011.8;10.1;77.3
02/04/2014;2;4;3;46;15;34;23;2;12.4;11.3;14;8.3;1004.1;23.3;52.4
03/04/2014;3;4;4;38;19;33;20;2;0;11.3;16.4;7.8;1001.3;12.8;87.9
04/04/2014;4;4;5;44;18;25;17;2;0.1;11.9;17.7;8.1;1009.4;23.3;56.1
05/04/2014;5;4;6;41;24;28;21;2;0;14.3;20.8;11.1;1018.3;16.0;69.8
06/04/2014;6;4;7;53;25;29;28;3;0;15.3;23.2;8.1;1020.5;7.6;82.1
07/04/2014;7;4;1;56;23;34;27;2;0;17.1;25.5;8.3;1019.2;9.1;69.2
08/04/2014;8;4;2;49;31;34;34;3;0;17.4;26;9.4;1018.8;9.7;61.0
09/04/2014;9;4;3;61;35;36;29;3;0;18.3;26.7;9.3;1020.1;6.9;57.4
10/04/2014;10;4;4;60;42;33;29;2;0;19.6;28;11.8;1018.2;8.2;49.0
11/04/2014;11;4;5;69;31;33;14;2;0;18.6;26.3;10.3;1013.9;8.8;52.4
12/04/2014;12;4;6;64;22;43;19;2;0;16.8;24.8;11.8;1010.9;12.2;49.8
13/04/2014;13;4;7;53;26;40;26;2;0;16.8;25.5;8.7;1017.2;7.0;66.4
14/04/2014;14;4;1;54;27;40;22;2;0;17.7;26.5;9.3;1017.5;6.4;54.9
15/04/2014;15;4;2;56;27;41;28;2;0;19.1;27;13.5;1014.2;9.0;45.0
16/04/2014;16;4;3;54;24;45;19;2;0;18.9;27.6;9.9;1015.7;8.3;52.9
17/04/2014;17;4;4;48;21;43;13;2;0;19.9;28.9;11.7;1016.5;8.3;47.9
18/04/2014;18;4;5;40;31;32;22;2;0;19.3;28.8;8.4;1015.1;9.8;35.2
19/04/2014;19;4;6;64;20;35;8;2;0;17;24.5;9.7;1009.5;8.2;41.7
20/04/2014;20;4;7;37;17;26;21;2;6.3;14.4;19.9;10.3;1002.9;24.9;64.6
21/04/2014;21;4;1;40;21;31;19;2;2.7;12;14.3;10.6;1001.9;16.4;65.2
22/04/2014;22;4;2;44;19;30;19;2;0;13.5;19.7;8;1007.4;8.4;81.7
23/04/2014;23;4;3;46;27;31;21;2;0;14.6;20.7;7;1017.2;14.1;63.0
24/04/2014;24;4;4;47;18;38;20;2;5.7;12.6;18;9;1018.6;15.1;64.8
25/04/2014;25;4;5;37;19;26;15;1;0;12.1;18.4;7.1;1018.0;25.1;64.1
26/04/2014;26;4;6;45;18;37;13;1;0.6;13.8;18.9;9.9;1020.3;18.4;52.7
27/04/2014;27;4;7;44;19;33;18;2;0;14.7;21.3;7.8;1017.3;19.8;63.2
28/04/2014;28;4;1;49;25;35;22;2;0;18.3;25.4;11.2;1016.7;17.2;47.9
29/04/2014;29;4;2;56;22;34;21;2;0;17.4;25.9;8.3;1014.6;12.0;48.9
30/04/2014;30;4;3;64;18;39;16;2;0;17.7;25.4;9.4;1014.3;7.5;50.4
01/05/2014;1;5;4;53;22;37;17;2;0;18.3;27.3;9.9;1014.3;10.2;42.8
02/05/2014;2;5;5;49;14;39;9;1;0;16.7;22.6;11;1015.2;10.4;42.2
03/05/2014;3;5;6;46;17;45;14;2;0;15.3;23.9;6.2;1018.5;18.5;41.1
04/05/2014;4;5;7;54;32;40;35;3;0;16.4;26.8;6;1015.9;12.1;33.4
05/05/2014;5;5;1;66;36;40;33;3;0;18.8;29.1;7.9;1012.8;5.9;37.3
06/05/2014;6;5;2;73;36;34;36;3;0;20.1;30;11;1012.5;9.0;41.7
07/05/2014;7;5;3;70;39;46;34;3;0;20;27.6;14;1014.1;9.3;43.5
08/05/2014;8;5;4;84;25;43;21;2;0;20.9;29.9;12.3;1016.7;4.6;46.9
09/05/2014;9;5;5;71;29;42;23;2;0;22.8;31.1;13.8;1016.7;7.7;42.6
10/05/2014;10;5;6;59;30;38;18;2;0;23.6;32.2;14.3;1017.2;7.5;37.7
11/05/2014;11;5;7;51;25;41;22;2;0;22.3;29.4;15.4;1015.0;9.3;42.1
12/05/2014;12;5;1;62;24;36;13;1;0;21.1;30.2;10.9;1014.8;9.0;39.0
13/05/2014;13;5;2;58;24;43;16;1;0;17.2;24.3;10.7;1014.0;14.2;35.9
14/05/2014;14;5;3;50;25;47;14;2;0;16.8;26.7;7.1;1023.6;15.8;29.8
15/05/2014;15;5;4;61;20;46;16;1;0;19.2;28.3;9.5;1022.8;7.4;28.0
16/05/2014;16;5;5;49;27;56;12;2;0;19.4;28;10.2;1017.6;8.7;23.8
17/05/2014;17;5;6;56;28;52;16;2;0;18.9;27;10.6;1013.6;10.2;27.9
18/05/2014;18;5;7;61;42;47;22;2;0;19.1;27.2;8.4;1011.5;6.9;30.3
19/05/2014;19;5;1;80;22;38;16;2;0.6;18.8;23.8;13.2;1005.3;15.1;50.7
20/05/2014;20;5;2;75;26;36;17;2;3;14.7;20.3;10.1;1005.1;20.8;51.4
21/05/2014;21;5;3;85;22;33;16;3;2.7;13.3;18.9;9;1006.4;19.7;71.8
22/05/2014;22;5;4;54;18;44;18;2;0.1;12.6;19;8.2;1010.8;22.6;61.7
23/05/2014;23;5;5;54;16;51;16;2;0.7;14.6;20.5;11.4;1014.0;24.9;43.8
24/05/2014;24;5;6;61;21;46;15;1;0;16.5;23.4;9.9;1014.4;11.7;41.5
25/05/2014;25;5;7;59;19;45;18;2;0;17.3;23.9;10.6;1012.3;12.5;43.2
26/05/2014;26;5;1;48;20;46;19;2;0;16.5;24;8.6;1015.2;12.7;35.0
27/05/2014;27;5;2;57;25;32;19;2;0.4;18.3;24.5;13.5;1017.2;8.3;45.5
28/05/2014;28;5;3;57;19;36;19;2;0.5;16.8;22.8;13.4;1013.9;13.4;58.9
29/05/2014;29;5;4;49;15;37;18;2;0;17.6;24.1;10;1016.0;14.4;46.0
30/05/2014;30;5;5;37;17;41;10;1;0;18.9;24.5;13.6;1016.1;12.2;46.9
31/05/2014;31;5;6;38;14;40;10;1;0;16.2;22.6;9.6;1018.4;16.4;47.0
01/06/2014;1;6;7;31;23;55;18;2;0;18.4;26.1;11.3;1019.0;17.2;43.2
02/06/2014;2;6;1;46;31;48;24;2;0;19.2;28.3;9.7;1018.5;10.6;32.5
03/06/2014;3;6;2;51;32;43;20;2;0;21.8;30.5;11.1;1016.7;7.6;31.0
04/06/2014;4;6;3;52;28;56;22;2;0;23.1;29.5;15.9;1011.7;12.7;37.0
05/06/2014;5;6;4;45;48;44;28;2;0;21.7;28.6;13.4;1010.3;13.0;28.8
06/06/2014;6;6;5;74;29;31;13;2;0;23.2;30.8;13.2;1009.4;13.3;37.1
07/06/2014;7;6;6;46;26;38;17;2;0;22.1;28.5;15.9;1009.4;18.3;46.0
08/06/2014;8;6;7;47;31;41;22;2;0;22.4;30.7;12.4;1015.1;10.8;34.7
09/06/2014;9;6;1;52;29;40;22;3;0;23.2;30.1;16.4;1014.8;10.4;38.4
10/06/2014;10;6;2;49;41;42;22;2;0;22.6;30.2;13;1014.5;12.2;38.8
11/06/2014;11;6;3;71;30;60;27;2;9.6;22.1;32.7;16.9;1015.7;8.2;68.4
12/06/2014;12;6;4;59;36;55;27;2;0;24.2;33.7;15.6;1020.6;10.4;44.2
13/06/2014;13;6;5;71;23;53;15;2;0;26.1;35.1;16.1;1018.5;6.3;33.2
14/06/2014;14;6;6;49;23;44;10;2;0;25.9;34.5;18.1;1015.3;10.8;32.9
15/06/2014;15;6;7;43;18;46;14;2;0;22.1;30.3;12.6;1013.4;17.1;34.2
16/06/2014;16;6;1;41;23;68;17;2;0;19.7;27;12.1;1013.6;16.5;37.7
17/06/2014;17;6;2;49;31;65;25;2;0;21.6;29.5;12.8;1013.8;14.3;34.1
18/06/2014;18;6;3;62;44;55;13;2;0;24.2;32;15.5;1012.4;10.2;29.5
19/06/2014;19;6;4;76;40;52;18;2;1.8;24.6;32.8;17.9;1012.3;9.0;50.7
20/06/2014;20;6;5;68;25;38;13;2;0;24.9;31.2;18.8;1012.4;9.7;38.5
21/06/2014;21;6;6;50;23;41;19;2;0;23.9;29.1;18.7;1011.0;14.4;36.6
22/06/2014;22;6;7;47;27;44;22;2;0;22.8;29.2;14;1014.0;11.8;38.0
23/06/2014;23;6;1;51;32;36;20;2;2.3;23.4;31.2;14.8;1014.5;8.6;42.9
24/06/2014;24;6;2;58;21;56;23;2;0.9;18.4;22.9;16.1;1013.5;13.7;60.4
25/06/2014;25;6;3;48;34;46;25;2;1.5;21.6;28.3;16.1;1014.2;8.6;44.3
26/06/2014;26;6;4;67;27;46;29;2;0;22.7;29;15.7;1013.0;7.6;44.4
27/06/2014;27;6;5;57;25;33;20;2;0;23.9;31.9;14.5;1014.3;9.4;32.9
28/06/2014;28;6;6;47;16;45;12;2;0;23.8;31.1;14.1;1013.1;15.1;35.7
29/06/2014;29;6;7;34;25;48;21;3;0;22.3;29.2;16;1012.7;22.5;30.7
30/06/2014;30;6;1;45;30;38;24;3;0;23.1;30.9;13.6;1016.9;8.6;30.7
01/07/2014;1;7;2;53;26;42;18;2;0;23.1;28.6;16.5;1012.3;12.9;25.0
02/07/2014;2;7;3;48;37;33;23;2;6.7;21.1;28.2;14.1;1010.8;17.5;36.2
03/07/2014;3;7;4;65;26;49;25;3;20.1;18.2;23.1;10;1014.2;11.9;56.2
04/07/2014;4;7;5;47;25;59;26;3;0;21.3;30;12.5;1016.1;8.7;75.4
05/07/2014;5;7;6;56;23;26;18;2;0;24.6;32.5;15;1015.0;8.2;48.4
06/07/2014;6;7;7;48;20;41;21;2;0;22.6;26.9;18.5;1011.3;15.2;36.8
07/07/2014;7;7;1;39;21;48;24;3;0;21.9;28.1;17;1012.5;17.3;56.1
08/07/2014;8;7;2;49;19;37;17;2;0;22.5;31.2;13;1016.6;8.5;39.9
09/07/2014;9;7;3;42;26;51;16;2;0;22.1;29.1;15.9;1015.8;13.2;40.3
10/07/2014;10;7;4;33;21;57;18;3;0;20.9;30;12.9;1017.5;14.5;39.8
11/07/2014;11;7;5;45;19;48;12;2;0;22.3;31.7;13.1;1017.0;12.3;31.4
12/07/2014;12;7;6;44;20;48;13;2;0;20.4;32.5;14.2;1015.8;10.6;36.2
13/07/2014;13;7;7;46;27;55;26;2;0;25.7;34.8;16.3;1014.6;8.7;35.8
14/07/2014;14;7;1;56;36;63;26;2;0;27.8;35.9;18.5;1013.2;11.3;32.7
15/07/2014;15;7;2;64;45;68;36;3;0;28.4;36.8;19.6;1013.7;8.0;34.0
16/07/2014;16;7;3;76;56;52;44;3;0;29.7;38.5;19.5;1014.4;7.7;29.6
17/07/2014;17;7;4;90;61;52;37;3;0;29.4;38.2;19.8;1013.9;7.5;26.6
18/07/2014;18;7;5;95;29;34;14;2;0;28.9;36.7;21.6;1012.2;10.1;21.2
19/07/2014;19;7;6;56;15;35;12;2;0;21.9;24.8;19.2;1009.0;21.9;28.7
20/07/2014;20;7;7;39;21;62;18;2;0;21.8;27.7;17.5;1013.5;17.1;55.1
21/07/2014;21;7;1;46;29;69;23;2;0;23.6;32.1;13.9;1018.1;10.0;41.4
22/07/2014;22;7;2;51;38;63;30;2;0;26.9;35.3;17;1016.6;9.0;36.0
23/07/2014;23;7;3;61;35;63;28;2;0;28.7;37.1;17.9;1011.2;7.4;24.8
24/07/2014;24;7;4;62;34;60;31;2;0;29.2;36.2;20.9;1007.3;10.3;26.0
25/07/2014;25;7;5;63;39;72;22;3;0;27.7;35.5;17.8;1006.9;10.0;27.8
26/07/2014;26;7;6;74;36;72;19;2;0;28.1;36.3;19.7;1009.1;9.6;29.7
27/07/2014;27;7;7;73;39;60;26;2;0;29.4;37;21.1;1012.0;9.7;31.5
28/07/2014;28;7;1;69;21;42;12;2;0;28.6;36.2;20.2;1011.7;8.4;29.4
29/07/2014;29;7;2;36;21;58;17;2;0;23.8;31;17.9;1010.9;18.0;36.9
30/07/2014;30;7;3;40;46;53;26;3;0;24.1;33.1;15.5;1014.1;13.5;38.1
31/07/2014;31;7;4;70;45;47;20;3;0;27.7;35.8;17.2;1011.8;7.0;31.1
01/08/2014;1;8;5;76;23;39;12;2;0;25.5;29.4;20.5;1009.0;14.4;29.0
02/08/2014;2;8;6;51;20;37;10;3;0;24.2;29.4;19.2;1007.8;20.3;42.8
03/08/2014;3;8;7;38;33;46;21;3;0;24.4;30.4;17.5;1009.0;14.3;44.0
04/08/2014;4;8;1;51;45;61;18;2;0;25.7;33;16.4;1011.3;10.0;39.2
05/08/2014;5;8;2;70;44;55;22;2;0;27.5;34.5;20;1013.5;11.7;35.0
06/08/2014;6;8;3;69;36;49;22;2;0;27.7;35.8;18.7;1014.5;6.9;31.4
07/08/2014;7;8;4;55;38;40;23;3;0;28.7;35.6;18.9;1013.6;9.8;29.8
08/08/2014;8;8;5;51;30;36;20;2;0;28.2;35.5;18.9;1010.8;10.0;30.3
09/08/2014;9;8;6;52;27;46;15;2;0;26.7;33.8;18;1009.0;15.0;30.6
10/08/2014;10;8;7;51;30;48;18;2;0;26.7;33.4;17.4;1009.2;15.3;35.4
11/08/2014;11;8;1;53;51;44;22;2;0;26.9;34;17.3;1011.6;12.7;34.6
12/08/2014;12;8;2;56;21;51;13;3;0;27.3;35;18.6;1012.4;8.3;35.8
13/08/2014;13;8;3;37;25;51;12;2;0;24.8;30.2;18.5;1010.0;18.6;37.3
14/08/2014;14;8;4;46;29;60;11;2;0;22.7;31.5;15.2;1014.0;12.9;36.0
15/08/2014;15;8;5;52;29;54;10;3;0;24.4;33.3;14.8;1015.7;7.4;31.9
16/08/2014;16;8;6;58;28;32;23;3;0;23.3;31.7;16.3;1016.0;12.5;35.2
17/08/2014;17;8;7;56;42;47;21;3;0;24.6;34;14.6;1017.5;6.9;35.0
18/08/2014;18;8;1;63;27;51;23;3;0;26.1;34.2;18.8;1011.7;7.7;38.2
19/08/2014;19;8;2;52;39;54;21;3;0;25.7;33.5;17.1;1008.8;12.1;51.4
20/08/2014;20;8;3;71;39;39;19;2;0;24.8;32.4;16;1010.9;12.4;28.4
21/08/2014;21;8;4;62;37;42;18;2;0;24.5;31.5;15.1;1012.8;9.4;37.1
22/08/2014;22;8;5;52;21;48;13;2;0;23.8;30;18.3;1011.5;13.6;29.8
23/08/2014;23;8;6;42;33;48;20;2;0;23.3;32.1;14.4;1014.6;12.1;45.0
24/08/2014;24;8;7;56;37;50;33;3;0;25.4;33.5;15.7;1016.3;6.7;32.3
25/08/2014;25;8;1;59;39;33;26;3;0;26.4;35.2;15;1015.6;8.8;28.4
26/08/2014;26;8;2;64;37;35;18;2;0;27.5;35.4;18.4;1013.0;13.5;20.9
27/08/2014;27;8;3;58;41;38;30;4;0;27.5;35.5;19;1013.0;15.2;40.1
28/08/2014;28;8;4;64;40;42;24;2;0;27.4;35.6;17.1;1013.7;6.6;30.9
29/08/2014;29;8;5;60;36;45;18;2;0;27.7;34.3;20.6;1012.6;12.0;22.2
30/08/2014;30;8;6;64;33;54;17;2;0;26.8;34.1;19.6;1012.8;8.1;39.4
31/08/2014;31;8;7;66;36;53;25;3;0;27.2;35.3;19.6;1013.4;6.5;45.5
01/09/2014;1;9;1;59;45;46;29;3;0;28.3;36.3;19.1;1013.5;7.7;42.8
02/09/2014;2;9;2;68;46;43;27;3;0;29.2;37.8;18.9;1011.9;9.1;29.4
03/09/2014;3;9;3;72;31;35;21;3;0;27.4;34.7;18.6;1010.1;11.3;32.3
04/09/2014;4;9;4;51;41;41;30;3;0;25.5;31.9;19.2;1009.3;17.5;36.6
05/09/2014;5;9;5;60;33;32;23;3;0;25.3;33.1;16.3;1011.6;10.7;41.4
06/09/2014;6;9;6;53;32;35;23;3;0;24.2;31.2;16.1;1011.4;9.7;31.5
07/09/2014;7;9;7;52;27;45;23;2;0;23.2;30;16;1010.8;10.1;42.8
08/09/2014;8;9;1;47;31;48;25;1;0;22.9;30.9;15.3;1011.7;11.2;51.8
09/09/2014;9;9;2;49;41;52;33;1;0;23.9;31.8;16;1014.0;10.5;48.9
10/09/2014;10;9;3;65;31;37;23;1;0;25.1;31.8;17.4;1012.9;6.7;46.1
11/09/2014;11;9;4;47;27;37;26;1;0;23.9;29.3;18.5;1011.2;13.0;36.6
12/09/2014;12;9;5;44;26;40;24;1;0;23.4;31;14.6;1013.9;9.3;47.9
13/09/2014;13;9;6;46;29;36;24;1;0;23.5;31.5;15.6;1014.5;8.2;44.2
14/09/2014;14;9;7;46;29;36;24;1;4.9;22.7;29.7;14.7;1013.7;10.1;43.0
15/09/2014;15;9;1;44;33;37;28;2;0;20.7;26.7;15.2;1012.5;13.4;51.7
16/09/2014;16;9;2;50;30;32;21;1;0.6;21.3;28.6;14.3;1011.0;8.5;54.1
17/09/2014;17;9;3;55;25;32;23;1;0.2;20.4;26.9;17.1;1006.2;18.7;53.5
18/09/2014;18;9;4;49;21;30;23;1;1.4;19.3;26.2;15.8;1008.0;14.3;66.7
19/09/2014;19;9;5;46;22;34;25;1;0.1;18.1;24.1;14.9;1010.2;12.3;73.1
20/09/2014;20;9;6;43;21;41;20;1;0;19.3;26.6;13.5;1014.8;8.6;75.0
21/09/2014;21;9;7;45;26;35;24;1;9.9;21.3;28.6;15.5;1017.1;8.6;53.6
22/09/2014;22;9;1;49;21;37;22;1;0;18.9;25.6;14.5;1015.2;11.0;65.2
23/09/2014;23;9;2;45;22;28;27;1;0;18.7;24.7;12.5;1013.6;9.1;66.6
24/09/2014;24;9;3;51;31;36;25;1;0;17.4;22.6;14.7;1013.6;11.2;63.4
25/09/2014;25;9;4;78;35;39;27;1;0;16.9;24.4;10.7;1018.2;11.0;64.1
26/09/2014;26;9;5;77;32;35;25;1;0;17.6;25.9;10.9;1020.5;7.6;44.8
27/09/2014;27;9;6;71;26;28;18;1;0;18.7;24.9;13.2;1021.1;5.7;55.9
28/09/2014;28;9;7;67;31;35;34;1;0;18.8;22.2;16.2;1019.9;12.7;62.5
29/09/2014;29;9;1;69;26;37;35;2;0;18.7;25.1;13.7;1020.6;3.1;76.7
30/09/2014;30;9;2;58;34;33;29;1;0;18.5;27.1;11;1022.3;7.2;66.1
01/10/2014;1;10;3;68;28;33;24;1;0;20.1;27.1;14;1023.0;4.9;55.0
02/10/2014;2;10;4;56;34;37;32;1;0;20.6;27.8;15.5;1022.8;7.3;64.1
03/10/2014;3;10;5;62;30;41;31;1;0;20;27.1;14.1;1021.5;6.1;61.1
04/10/2014;4;10;6;60;29;42;25;1;0;19.4;27.1;11.7;1019.2;6.8;69.7
05/10/2014;5;10;7;60;33;36;31;2;0;19.3;26.1;12.8;1016.1;9.6;53.5
06/10/2014;6;10;1;59;22;27;21;1;0;17.7;25.4;9.7;1013.3;8.4;54.8
07/10/2014;7;10;2;42;26;23;23;1;0;18;23.4;13.5;1012.1;13.8;60.1
08/10/2014;8;10;3;48;21;13;21;1;1.3;18.8;25.3;13.4;1012.9;13.0;64.7
09/10/2014;9;10;4;48;13;26;27;1;51;18.3;20;16.2;1010.9;14.8;69.7
12/10/2014;12;10;7;31;17;28;19;1;2.1;15.6;20.2;12.9;1008.2;14.0;85.0
13/10/2014;13;10;1;40;15;30;27;1;10.4;14.4;17.7;11.8;1008.7;24.6;73.2
